name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 1,positive,1.4285714285714286,85.71428571428571,0.0,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,45.94594594594595,24.324324324324326,21.62162162162162,0,9
Aluno 10,positive,0.861904761904762,90.47619047619048,4.761904761904762,0.0,4.761904761904762,95.23809523809523,66.66666666666666,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,16.216216216216218,8.108108108108109,8.108108108108109,0,3
Aluno 11,positive,0.7047619047619048,90.47619047619048,0.0,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,10.81081081081081,8.108108108108109,2.7027027027027026,0,3
Aluno 12,negative,4.9904761904761905,42.857142857142854,9.523809523809524,4.761904761904762,42.857142857142854,52.38095238095239,19.047619047619047,0.0,0.0,0.0,0.0,4.761904761904762,38.095238095238095,33.33333333333333,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 13,negative,5.957142857142857,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 14,negative,3.880952380952381,57.14285714285714,0.0,14.285714285714285,28.57142857142857,57.14285714285714,33.33333333333333,0.0,0.0,0.0,0.0,4.761904761904762,52.38095238095239,33.33333333333333,5.405405405405405,2.7027027027027026,2.7027027027027026,0,1
Aluno 15,negative,5.747619047619048,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 16,positive,3.395238095238095,61.904761904761905,4.761904761904762,4.761904761904762,28.57142857142857,66.66666666666666,38.095238095238095,0.0,0.0,0.0,0.0,0.0,57.14285714285714,38.095238095238095,16.216216216216218,13.513513513513514,2.7027027027027026,0,5
Aluno 17,negative,6.023809523809524,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 18,negative,1.4904761904761905,76.19047619047619,9.523809523809524,9.523809523809524,4.761904761904762,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,76.19047619047619,38.095238095238095,16.216216216216218,10.81081081081081,5.405405405405405,0,4
Aluno 19,negative,1.9952380952380953,71.42857142857143,14.285714285714285,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,66.66666666666666,38.095238095238095,18.91891891891892,13.513513513513514,5.405405405405405,0,5
Aluno 2,negative,1.1238095238095238,85.71428571428571,4.761904761904762,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,76.19047619047619,38.095238095238095,16.216216216216218,8.108108108108109,8.108108108108109,0,3
Aluno 20,positive,1.4285714285714286,85.71428571428571,0.0,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,8.108108108108109,5.405405405405405,2.7027027027027026,0,2
Aluno 21,negative,5.980952380952381,38.095238095238095,0.0,0.0,61.904761904761905,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,0.0,0.0,0.0,0,0
Aluno 22,negative,5.480952380952381,38.095238095238095,0.0,19.047619047619047,42.857142857142854,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,4.761904761904762,38.095238095238095,33.33333333333333,5.405405405405405,2.7027027027027026,2.7027027027027026,0,1
Aluno 23,negative,3.1809523809523808,61.904761904761905,9.523809523809524,4.761904761904762,23.809523809523807,71.42857142857143,42.857142857142854,0.0,0.0,0.0,0.0,0.0,57.14285714285714,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 24,negative,2.8285714285714283,61.904761904761905,9.523809523809524,9.523809523809524,19.047619047619047,71.42857142857143,42.857142857142854,0.0,0.0,0.0,0.0,0.0,61.904761904761905,38.095238095238095,10.81081081081081,8.108108108108109,2.7027027027027026,0,3
Aluno 25,negative,5.776190476190476,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,8.108108108108109,8.108108108108109,0.0,0,3
Aluno 26,negative,5.685714285714286,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,8.108108108108109,5.405405405405405,2.7027027027027026,0,2
Aluno 27,negative,5.719047619047619,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 28,negative,5.6952380952380945,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 29,negative,1.0666666666666667,85.71428571428571,4.761904761904762,4.761904761904762,4.761904761904762,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,13.513513513513514,10.81081081081081,2.7027027027027026,0,4
Aluno 3,negative,2.3476190476190473,71.42857142857143,4.761904761904762,4.761904761904762,19.047619047619047,76.19047619047619,47.61904761904761,0.0,0.0,0.0,0.0,0.0,71.42857142857143,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 30,positive,1.0238095238095237,90.47619047619048,0.0,0.0,9.523809523809524,90.47619047619048,61.904761904761905,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,16.216216216216218,10.81081081081081,5.405405405405405,0,4
Aluno 31,negative,5.752380952380952,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,19.047619047619047,0.0,0.0,0.0,0.0,4.761904761904762,33.33333333333333,33.33333333333333,10.81081081081081,2.7027027027027026,8.108108108108109,0,1
Aluno 32,negative,3.776190476190476,47.61904761904761,9.523809523809524,19.047619047619047,23.809523809523807,57.14285714285714,28.57142857142857,0.0,0.0,0.0,0.0,4.761904761904762,47.61904761904761,33.33333333333333,13.513513513513514,5.405405405405405,8.108108108108109,0,2
Aluno 33,negative,6.023809523809524,38.095238095238095,0.0,4.761904761904762,57.14285714285714,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,4.761904761904762,38.095238095238095,33.33333333333333,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 34,negative,3.8333333333333335,52.38095238095239,0.0,23.809523809523807,23.809523809523807,52.38095238095239,33.33333333333333,0.0,0.0,0.0,0.0,0.0,52.38095238095239,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 35,positive,1.4285714285714286,85.71428571428571,0.0,0.0,14.285714285714285,85.71428571428571,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,10.81081081081081,5.405405405405405,5.405405405405405,0,2
Aluno 36,negative,4.980952380952381,42.857142857142854,4.761904761904762,9.523809523809524,42.857142857142854,47.61904761904761,19.047619047619047,0.0,0.0,0.0,0.0,0.0,42.857142857142854,38.095238095238095,10.81081081081081,5.405405405405405,5.405405405405405,0,2
Aluno 37,negative,6.252380952380953,33.33333333333333,0.0,9.523809523809524,57.14285714285714,33.33333333333333,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,33.33333333333333,33.33333333333333,2.7027027027027026,0.0,2.7027027027027026,0,0
Aluno 38,negative,6.114285714285715,38.095238095238095,0.0,0.0,61.904761904761905,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 39,negative,3.7333333333333334,57.14285714285714,0.0,14.285714285714285,28.57142857142857,57.14285714285714,28.57142857142857,0.0,0.0,0.0,0.0,0.0,57.14285714285714,38.095238095238095,10.81081081081081,10.81081081081081,0.0,0,4
Aluno 4,negative,6.323809523809524,33.33333333333333,0.0,4.761904761904762,61.904761904761905,33.33333333333333,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,33.33333333333333,33.33333333333333,10.81081081081081,8.108108108108109,2.7027027027027026,0,3
Aluno 40,positive,0.0,100.0,0.0,0.0,0.0,100.0,71.42857142857143,0.0,0.0,0.0,0.0,0.0,100.0,38.095238095238095,56.75675675675676,35.13513513513514,21.62162162162162,0,13
Aluno 41,negative,6.504761904761905,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,33.33333333333333,33.33333333333333,2.7027027027027026,2.7027027027027026,0.0,0,1
Aluno 5,negative,5.728571428571429,38.095238095238095,0.0,9.523809523809524,52.38095238095239,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.0,38.095238095238095,38.095238095238095,5.405405405405405,5.405405405405405,0.0,0,2
Aluno 6,negative,0.9761904761904762,85.71428571428571,9.523809523809524,0.0,4.761904761904762,95.23809523809523,61.904761904761905,0.0,0.0,0.0,0.0,0.0,80.95238095238095,38.095238095238095,18.91891891891892,16.216216216216218,2.7027027027027026,0,6
Aluno 7,negative,3.0952380952380953,66.66666666666666,4.761904761904762,0.0,28.57142857142857,71.42857142857143,42.857142857142854,0.0,0.0,0.0,0.0,0.0,61.904761904761905,38.095238095238095,29.72972972972973,10.81081081081081,18.91891891891892,0,4
Aluno 8,positive,4.652380952380953,52.38095238095239,0.0,4.761904761904762,42.857142857142854,52.38095238095239,23.809523809523807,0.0,0.0,0.0,0.0,0.0,47.61904761904761,38.095238095238095,13.513513513513514,8.108108108108109,5.405405405405405,0,3
Aluno 9,positive,1.1904761904761905,85.71428571428571,4.761904761904762,0.0,9.523809523809524,90.47619047619048,57.14285714285714,0.0,0.0,0.0,0.0,0.0,85.71428571428571,38.095238095238095,10.81081081081081,5.405405405405405,5.405405405405405,0,2
